etf_code,etf_name,sector,total_bars,ret_90d,mdd_90d,trades_90d,free_shares_90d,ret_180d,mdd_180d,trades_180d,free_shares_180d,ret_1y,mdd_1y,trades_1y,free_shares_1y,ret_2y,mdd_2y,trades_2y,free_shares_2y,ret_3y,mdd_3y,trades_3y,free_shares_3y,ret_5y,mdd_5y,trades_5y,free_shares_5y
159562,黄金股ETF华夏,大宗商品,640,46.95,11.06,100,1100,4.41,27.63,100,900,26.37,16.45,255,3000,7.4,7.92,44,1500,5.57,8.37,48,1400,,,,
562060,标普A股红利ETF华宝,跨境全球,656,8.13,5.65,133,1300,-12.04,12.88,64,500,7.29,2.32,250,3100,1.64,0.72,42,1200,5.07,6.54,332,6200,,,,
510980,上证指数ETF汇添富,核心宽基,675,7.34,3.98,165,500,7.71,4.76,290,1100,6.25,1.1,258,1100,1.51,0.42,28,300,4.98,6.98,396,2800,,,,
560090,证券ETF汇添富,大金融,850,21.19,1.25,117,1200,15.56,6.49,325,2600,-10.16,19.09,178,1000,1.86,1.51,30,600,4.98,17.78,258,3600,,,,
562930,软件ETF易方达,科技芯片,796,20.2,4.61,229,3400,-36.11,21.37,88,1100,-17.95,27.58,244,3600,2.12,1.72,22,1200,4.98,38.77,780,13400,,,,
561170,绿色电力ETF富国,公用红利,849,-21.73,10.1,20,100,4.16,10.76,302,1900,10.8,3.18,444,2500,4.24,1.66,200,1900,4.71,4.19,416,3400,,,,
561580,央企红利ETF华泰柏瑞,公用红利,800,16.51,7.32,106,700,3.22,12.97,91,400,7.98,7.05,289,1500,1.19,0.31,18,300,4.5,9.6,308,2800,,,,
513400,道琼斯ETF鹏华,跨境全球,631,11.07,0.66,63,400,7.69,3.77,92,600,6.15,3.32,136,1100,3.74,6.78,140,1400,4.35,4.13,260,2200,,,,
159691,港股红利ETF工银,跨境全球,824,8.46,8.56,97,600,-22.23,19.22,24,0,-0.84,16.28,272,1400,1.8,0.81,38,600,4.16,3.98,296,2700,,,,
562550,绿电ETF华夏,公用红利,842,-22.77,10.15,20,100,4.59,10.7,324,2000,11.38,3.08,441,2700,2.97,1.27,144,1300,4.05,5.4,340,2900,,,,
159692,证券ETF东财,大金融,805,19.45,1.91,107,1100,17.0,6.22,320,2500,-7.04,17.97,224,1200,1.82,1.4,24,500,4.0,17.01,212,2700,,,,
159687,亚太精选ETF南方,跨境全球,894,2.07,11.37,129,600,11.67,4.98,76,600,7.75,1.89,120,900,4.79,7.29,124,1200,3.97,5.65,158,1600,,,,
159509,纳指科技ETF景顺,跨境全球,752,24.72,5.33,136,500,13.0,4.62,66,400,5.84,0.7,62,400,11.42,18.95,306,2000,3.91,5.85,74,1000,,,,
513260,恒生科技ETF汇添富,跨境全球,970,-12.4,8.16,154,1100,-24.96,15.55,78,800,-27.23,30.22,130,600,1.57,2.01,22,500,3.91,24.41,301,3300,,,,
513040,港股通互联网ETF易方达,跨境全球,791,-9.08,12.64,164,2000,-49.89,28.15,40,700,-43.7,47.42,90,400,3.16,8.0,150,2400,3.5,28.5,516,7400,,,,
159577,美国50ETF汇添富,核心宽基,622,18.17,2.85,144,600,7.71,4.66,56,500,7.11,5.33,156,1100,4.02,9.28,134,1200,3.49,2.12,126,1300,,,,
159673,沪深300ETF鹏华,核心宽基,768,2.9,3.58,204,900,12.0,3.9,301,1500,8.48,1.97,354,1800,1.34,0.42,30,300,3.44,12.14,208,2200,,,,
159696,纳指ETF易方达,跨境全球,739,7.13,6.34,130,300,9.35,4.17,68,400,6.03,2.52,118,700,4.67,9.32,136,1100,3.21,4.94,102,900,,,,
513920,港股通央企红利ETF华安,跨境全球,651,6.1,9.85,83,300,-7.83,15.21,80,200,7.03,10.48,337,1400,1.33,0.43,22,300,3.16,6.17,130,1200,,,,
159655,标普500ETF华夏,跨境全球,945,12.19,1.49,90,300,6.71,3.94,48,300,5.67,3.52,132,600,4.55,10.05,164,1100,2.67,5.34,104,900,,,,
513390,纳指100ETF博时,跨境全球,816,10.83,6.55,151,400,7.69,4.24,60,300,5.11,3.85,98,500,5.67,9.24,144,1100,2.4,4.48,62,600,,,,
563020,红利低波ETF易方达,公用红利,666,15.68,7.37,145,800,5.37,9.57,137,700,8.94,8.51,441,2100,1.49,0.52,34,400,2.35,1.78,158,1200,,,,
513630,港股低波红利ETF摩根,跨境全球,670,6.55,7.86,129,300,-4.53,12.25,138,300,6.65,7.35,341,1200,1.13,0.46,18,200,2.32,2.46,122,1000,,,,
159659,纳斯达克100ETF招商,跨境全球,822,12.19,6.28,149,300,6.87,4.02,52,300,5.72,2.5,106,500,4.43,8.92,134,900,2.28,5.62,60,500,,,,
159632,纳斯达克ETF华安,跨境全球,998,12.03,5.98,151,300,8.2,4.09,58,300,5.26,3.14,112,500,5.35,9.29,152,1000,2.23,5.42,62,500,,,,
513110,纳指ETF华泰柏瑞,跨境全球,847,11.53,6.26,153,300,10.99,4.38,88,500,6.95,3.39,134,700,4.64,8.94,130,900,2.21,5.1,56,500,,,,
159660,纳指ETF汇添富,跨境全球,828,10.29,6.91,158,400,8.08,4.36,66,300,5.19,2.87,112,500,4.91,9.18,146,900,2.2,5.06,62,500,,,,
159513,纳斯达克100ETF大成,跨境全球,759,-0.29,8.48,106,300,7.92,4.5,52,400,5.05,3.17,114,600,4.85,9.9,172,1400,2.2,7.67,68,800,,,,
159688,恒生互联网ETF华安,跨境全球,870,-12.94,11.54,154,2000,-40.93,23.18,44,700,-33.58,38.28,158,1200,2.18,4.02,84,1600,2.19,26.26,600,9000,,,,
159529,标普消费ETF景顺,跨境全球,627,7.51,3.29,162,800,4.08,5.66,233,1200,-3.35,10.99,290,1500,1.21,1.4,48,300,2.17,3.55,92,1000,,,,
159501,纳指ETF嘉实,跨境全球,789,8.34,6.65,141,200,8.55,4.21,62,400,5.57,2.57,106,500,5.33,9.46,158,1200,2.16,5.81,68,600,,,,
513850,美国50ETF易方达,核心宽基,685,17.05,2.35,122,500,7.14,4.3,54,300,5.43,4.64,110,600,5.56,11.28,170,1500,1.93,1.69,50,700,,,,
159547,红利低波ETF华夏,公用红利,626,15.26,7.47,146,700,9.76,8.73,218,1100,9.64,7.8,506,2100,1.25,0.33,20,300,1.77,1.55,82,900,,,,
513870,纳指ETF富国,跨境全球,696,8.63,6.9,138,400,8.67,3.64,54,400,6.17,2.55,112,600,5.05,9.05,144,1200,1.67,1.12,12,200,,,,
513650,标普500ETF南方,跨境全球,836,11.2,1.65,88,200,7.69,4.26,60,400,6.18,3.45,138,700,4.14,9.48,152,1100,1.32,5.67,42,400,,,,
560080,中药ETF汇添富,医药健康,951,20.9,4.79,161,1700,-12.08,14.67,134,800,-12.92,20.56,100,500,3.64,5.37,232,2300,-0.08,23.28,704,5500,,,,
159321,黄金股ETF华安,大宗商品,555,46.66,11.06,100,1600,4.31,28.06,106,1400,26.93,15.32,255,4400,7.45,8.4,52,2100,,,,,,,,
517400,黄金股ETF国泰,大宗商品,574,44.05,11.21,93,1400,4.43,28.21,96,1400,24.69,14.68,239,3800,7.6,8.11,54,2200,,,,,,,,
159325,半导体ETF南方,科技芯片,450,27.5,8.93,193,1600,17.35,6.76,56,900,24.08,8.91,216,3300,16.86,11.43,250,4200,,,,,,,,
588170,科创半导体ETF华夏,科技芯片,351,68.52,10.37,179,5500,21.0,4.93,42,2300,22.2,9.53,58,6300,,,,,,,,,,,,
588780,科创芯片设计ETF国联安,科技芯片,416,11.41,12.92,159,3500,28.2,5.92,122,3900,21.71,10.59,218,6200,17.88,11.66,202,9200,,,,,,,,
159599,芯片ETF东财,科技芯片,574,27.42,9.66,211,1400,15.95,7.07,52,600,21.33,10.64,222,2000,6.73,6.37,26,1000,,,,,,,,
589020,科创半导体设备ETF鹏华,科技芯片,248,63.79,11.33,173,4100,21.22,5.35,50,1900,20.18,8.49,58,4800,,,,,,,,,,,,
588710,科创半导体设备ETF华泰柏瑞,科技芯片,314,66.74,10.72,175,5100,19.71,4.44,38,2100,19.66,8.45,50,5400,,,,,,,,,,,,
588810,科创芯片ETF富国,科技芯片,407,39.11,10.92,184,3200,19.97,4.96,46,1700,19.36,7.41,168,4200,,,,,,,,,,,,
588750,科创芯片ETF汇添富,科技芯片,416,39.28,10.57,203,1700,18.29,5.17,46,800,19.22,7.88,166,2200,18.87,11.97,198,3800,,,,,,,,
588890,科创芯片ETF南方,科技芯片,582,42.06,10.31,205,3200,18.93,5.08,48,1600,18.94,7.48,176,3900,9.45,7.47,28,3700,,,,,,,,
589100,科创芯片ETF国泰,科技芯片,352,42.1,10.32,201,4700,18.13,5.1,46,2300,18.83,7.44,172,5700,,,,,,,,,,,,
588950,科创50ETF景顺,核心宽基,396,21.44,7.99,192,1700,12.84,5.45,46,800,18.43,6.31,252,3000,,,,,,,,,,,,
159583,通信ETF富国,科技芯片,531,11.45,21.83,128,1700,27.01,5.2,84,1900,18.32,6.91,156,2700,10.54,7.36,30,3000,,,,,,,,
159388,创业板人工智能ETF国泰,科技芯片,352,12.07,18.33,146,2600,30.49,5.95,131,3600,18.25,7.15,166,4700,,,,,,,,,,,,
588990,科创芯片ETF博时,科技芯片,503,35.05,10.48,201,1000,19.03,5.49,42,500,18.25,8.4,168,1200,8.62,7.06,38,1100,,,,,,,,
159246,创业板人工智能ETF富国,科技芯片,288,12.69,17.83,142,2400,30.84,5.82,131,3200,17.16,7.75,158,3800,,,,,,,,,,,,
589080,科创综指ETF汇添富,核心宽基,374,11.32,10.65,167,1900,22.37,5.19,116,1900,16.86,5.6,212,3000,,,,,,,,,,,,
159363,创业板人工智能ETF华宝,科技芯片,424,12.36,18.39,146,2300,30.84,5.64,129,3000,16.58,7.63,156,3400,23.16,20.11,194,9200,,,,,,,,
159242,创业板人工智能ETF大成,科技芯片,278,7.55,18.11,136,1100,29.41,5.58,123,1700,16.56,6.85,154,2000,,,,,,,,,,,,
159382,创业板人工智能ETF南方,科技芯片,331,7.76,17.57,134,900,29.79,6.06,133,1300,16.24,7.14,154,1500,,,,,,,,,,,,
588940,科创50ETF富国,核心宽基,315,24.6,8.35,188,3900,14.23,5.53,64,1900,16.18,5.76,232,5200,,,,,,,,,,,,
159279,创业板人工智能ETF华安,科技芯片,231,11.78,18.21,140,1800,29.9,5.85,121,2600,15.99,6.17,128,2700,,,,,,,,,,,,
